book_name,top_k,uses_hnsw,latency_ms,plan_type
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",10,True,4.504,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",15,True,4.676,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",20,True,4.517,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",25,True,5.458,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",30,True,5.155,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",31,True,4.771,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",32,True,4.853,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",33,True,4.562,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",34,True,4.472,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",35,True,5.232,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",36,True,4.794,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",37,True,4.691,HNSW
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",38,False,5829.235,Bitmap
"The Wheel of Time Companion _ The People, Places and History of the Bestselling Series",39,False,3356.623,Bitmap
06. Lord of Chaos,1,True,4.67,HNSW
06. Lord of Chaos,5,True,4.503,HNSW
06. Lord of Chaos,10,True,6.238,HNSW
06. Lord of Chaos,15,True,4.837,HNSW
06. Lord of Chaos,20,True,4.319,HNSW
06. Lord of Chaos,25,True,4.489,HNSW
06. Lord of Chaos,30,True,5.136,HNSW
06. Lord of Chaos,31,True,4.694,HNSW
06. Lord of Chaos,32,True,4.69,HNSW
06. Lord of Chaos,33,True,4.507,HNSW
06. Lord of Chaos,34,True,4.416,HNSW
06. Lord of Chaos,35,True,4.562,HNSW
06. Lord of Chaos,36,True,5.087,HNSW
06. Lord of Chaos,37,True,4.459,HNSW
06. Lord of Chaos,38,False,5576.891,Bitmap
06. Lord of Chaos,39,False,3417.794,Bitmap
